# Nachtrag zu orte.tsv - deutsche Gemeinden aus DE.txt (ADM4),
# die in cities1000 fehlen.  Erzeugt mit 'geocode.py --gemeinden'.
# name	lat	lon	cc	land	pop	region
Teichland	51.81053	14.42471	DE	Deutschland	1061	
Temnitztal	52.85670	12.63670	DE	Deutschland	1465	
Teuchern	51.11670	12.01670	DE	Deutschland	7712	
Tiefenbach	48.61670	13.40000	DE	Deutschland	6650	
Titting	49.00000	11.21670	DE	Deutschland	2718	
Tonna	51.07500	10.73330	DE	Deutschland	2769	
Twistetal	51.32583	8.95231	DE	Deutschland	4219	
Uckerland	53.45690	13.78060	DE	Deutschland	2412	
Uetze	52.47133	10.15810	DE	Deutschland	20064	
Uhlstädt-Kirchhasel	50.75910	11.43180	DE	Deutschland	5320	
Undeloh	53.19711	9.97574	DE	Deutschland	1019	
Unstrut-Hainich	51.12498	10.51115	DE	Deutschland	6378	
Unstruttal	51.26390	10.44720	DE	Deutschland	5993	
Upahl	53.81670	11.21670	DE	Deutschland	1842	
Uplengen	53.28333	7.75000	DE	Deutschland	11930	
Vellahn	53.40000	10.96670	DE	Deutschland	2731	
Vielank	53.23330	11.13330	DE	Deutschland	1271	
Vierkirchen	51.19290	14.74760	DE	Deutschland	1607	
Vierlinden	52.51500	14.31410	DE	Deutschland	1442	
Vlotho	52.13880	8.78060	DE	Deutschland	18335	
Wadersloh	51.75170	8.23290	DE	Deutschland	12848	
Waldbronn	48.92814	8.47698	DE	Deutschland	13838	
Waldbrunn	49.45434	9.07873	DE	Deutschland	4670	
Waldhufen	51.23330	14.79170	DE	Deutschland	2329	
Waldsolms	50.43071	8.49099	DE	Deutschland	4660	
Walting	48.91670	11.30000	DE	Deutschland	2317	
Wangerland	53.62921	7.92946	DE	Deutschland	9149	
Wanzleben-Börde	52.06032	11.41467	DE	Deutschland	13724	
Wedemark	52.55911	9.70537	DE	Deutschland	29803	
Wehretal	51.14646	9.99507	DE	Deutschland	4883	
Weidenberg	49.94120	11.72270	DE	Deutschland	5864	
Weilrod	50.32801	8.39542	DE	Deutschland	6856	
Weimar (Lahn)	50.76178	8.73207	DE	Deutschland	7240	
Wellheim	48.81893	11.09963	DE	Deutschland	2716	
Welver	51.61825	7.95650	DE	Deutschland	11999	
Wesertal	51.59275	9.59743	DE	Deutschland	4713	
Westheide	52.38700	11.49700	DE	Deutschland	1657	
Westoverledingen	53.15000	7.46667	DE	Deutschland	21127	
Wettin-Löbejün	51.63403	11.90206	DE	Deutschland	9554	
Weyhe	52.98482	8.84811	DE	Deutschland	30975	
Wiedemar	51.46670	12.20000	DE	Deutschland	5544	
Wiesengrund	51.69670	14.55330	DE	Deutschland	1338	
Wiesenttal	49.80370	11.25955	DE	Deutschland	2539	
Wildeck	50.95011	9.97716	DE	Deutschland	4701	
Windeck	50.79336	7.57266	DE	Deutschland	19555	
Wittendörp	53.56285	11.02461	DE	Deutschland	2876	
Wittibreut	48.33330	12.98330	DE	Deutschland	1940	
Wohratal	50.93351	8.92814	DE	Deutschland	2142	
Wolsfeld	49.90000	6.46667	DE	Deutschland	1074	
Wrestedt	52.90000	10.58330	DE	Deutschland	6130	
Wurster Nordseeküste	53.78681	8.61305	DE	Deutschland	16769	
Wurzen	51.34138	12.79851	DE	Deutschland	16238	
Wust-Fischbeck	52.54654	12.10026	DE	Deutschland	1154	
Wustrow	54.35000	12.40000	DE	Deutschland	1134	
Wutach	47.82928	8.42790	DE	Deutschland	1192	
Wutha-Farnroda	50.95330	10.39170	DE	Deutschland	6268	
Wöllstadt	50.28222	8.76086	DE	Deutschland	6593	
Zahna-Elster	51.88656	12.80766	DE	Deutschland	8984	
Zell am Harmersbach	48.35000	8.06667	DE	Deutschland	8129	
Zeschdorf	52.42818	14.44118	DE	Deutschland	1248	
Zörbig	51.62490	12.13980	DE	Deutschland	8899	
